person,relation,event
毛泽东,出生日期,1893年12.26
毛泽东,死亡日期,1976年09.09
毛泽东,籍贯,湖南湘潭
毛泽东,主编,《湘江评论》
毛泽东,人物生平,1919年，创办《湘江评论》，任主编
毛泽东,人物生平,1920年秋，在长沙创建共产主义小组
毛泽东,人物生平,1949年10月至1954年12月任政协第一届全国委员会主席。
毛泽东,人物生平,1922年，任中共湘区执行委员会书记
毛泽东,人物生平,1934年10月参加长征
毛泽东,人物生平,1936年12月，任中央革命军事委员会主席
毛泽东,人物生平,1949年10月至1954年12月任政协第一届全国委员会主席。
毛泽东,人物生平,1956、1969、1973年分别当选为中共第八、九、十届中央委员会主席
毛泽东,著作,《毛泽东选集》
毛泽东,著作,《毛泽东文集》
毛泽东,儿子,毛岸英
毛泽东,妻子,罗一秀
邓小平,创立者,邓小平理论
邓小平,出生日期,1904年8月
邓小平,死亡日期,1997年2月
邓小平,籍贯,四川广安
邓小平,人物生平,1922年参加中国社会主义青年团
邓小平,人物生平,1927年底至1929年夏任中共中央秘书长
邓小平,著作,《红星》
邓小平,著作,《邓小平文选》
邓小平,著作,《邓小平论教育》
邓小平,人物生平,1934年10月参加长征
邓小平,人物生平,年底担任中共中央秘书长
邓小平,人物生平,1977年7月中共十届三中全会上恢复了原来担任的党政军领导职务
邓小平,人物生平,1983年在第六届全国人民代表大会第一次会议上，当选为中华人民共和国中央军事委员会主席
邓小平,人物生平,1987年10月在中共十三届一中全会上，当选为中共中央军委主席
邓小平,人物生平,1989年11月，中共十三届五中全会同意他辞去中央军委主席职务，退出领导岗位
邓小平,评价,无论是政治，还是军事，论文论武，邓小平都是一把好手
陈独秀,生日,1879年10月9日
陈独秀,籍贯,安徽怀宁
陈独秀,轶事,创办《青年杂志》
陈独秀,轶事,倡导新文化运动
陈独秀,轶事,创始中国共产党
陈独秀,轶事,党早期主要领导人
陈独秀,轶事,轶事创办《安徽俗话报》
陈独秀,著作,《独秀文存》
陈独秀,著作,《陈独秀文章选编》
陈独秀,著作,《题西乡南洲游猎图》
李大钊,生日,1889年10月29日
李大钊,籍贯,河北乐亭
李大钊,轶事,东渡日本学习
李大钊,轶事,投身新文化运动
李大钊,轶事,传播马克思主义
李大钊,轶事,领导革命运动
李大钊,轶事,开展工人运动
李大钊,轶事,建立党的组织
李大钊,著作,《法俄革命之比较观》
李大钊,著作,《庶民的胜利》
李大钊,著作,《布尔什维主义的胜利》
李大钊,著作,《新纪元》
瞿秋白,生日,1899年1月29日
瞿秋白,籍贯,江苏常州
瞿秋白,轶事,奠基了中国革命文学事业
瞿秋白,轶事,参与建立上海大学，培养大批栋梁
瞿秋白,轶事,翻译《国际歌》
瞿秋白,轶事,翻译种种俄国著作，担任国内的许多刊物的编辑
鲁迅,生日,1881年9月25日
鲁迅,籍贯,浙江绍兴
鲁迅,轶事,赴日本公费留学
鲁迅,代表作,白话短篇小说《狂人日记》
鲁迅,代表作,《论雷峰塔的倒掉》
鲁迅,代表作,《呐喊》
胡适,生日,1891年12月17日
胡适,籍贯,安徽省绩溪县
胡适,轶事,任《国学季刊》杂志编辑
胡适,轶事,创办《努力周报》杂志
胡适,轶事,出版论著《白话文学史》
胡适,轶事,创办《独立评论》杂志
梁启超,生日,1873年2月23日
梁启超,籍贯,广东省广州府新会县
梁启超,轶事,戊戌变法（百日维新）领袖之一
梁启超,轶事,与黄遵宪一起创办《时务报》
梁启超,轶事,创始中国共产党
周恩来,代表作,《周恩来选集》
周恩来,出生日期,1898年3月5日
周恩来,出生地,江苏淮安
周恩来,叔侄,周秉德
周恩来,成就,人民军队的创建人和领导人
周恩来,成就,党的创建人之一和核心领导成员
周恩来,成就,探索适合中国的社会主义道路
周恩来,成就,中国特色外交的奠基人
周恩来,称呼,人民的好总理
于敏,代表作,“氢弹原理设想”的学术报告
于敏,出生日期,1926年8月16日
于敏,出生地,河北省宁河县芦台镇（今天津市宁河区）
于敏,荣誉,共和国勋章获得者
于敏,荣誉,“两弹一星”功勋奖章
于敏,成就,2014年度国家最高科技奖
于敏,成就,2015年获2014年度国家最高科技奖。
于敏,荣誉,氢弹之父
赵一曼,性别, 女
赵一曼,出生日期,1905年10月
赵一曼,死亡日期,1936年8月
赵一曼,别名,李姐
赵一曼,出身地, 四川省宜宾县白花镇人
赵一曼,毕业院校,黄埔军校
赵一曼,代表作品,《滨江述怀》《送子遗书》
赵一曼,主要成就,领导东北抗日活动 100位为新中国成立作出突出贡献的英雄模范人物之一
赵一曼,人物生平,1913年8岁，赵一曼入"私塾"学习，成绩良好
赵一曼,人物生平,1924年大姐夫郑佑之(中共首届四川省委委员)介绍她加入社会主义青年团。
赵一曼,人物生平,1928年冬奉命回国，赵一曼先后在宜昌，上海，江西等地从事秘密工作
赵一曼,人物生平,1931年"九一八"事变后，调到东北，在沈阳工厂中领导工人斗争。
赵一曼,人物生平,1932年赵一曼任满洲总工会秘书，组织部长。
赵一曼,人物生平,1933年，赵一曼任哈尔滨总工会代理书记
赵一曼,人物生平,1935年秋，赵一曼兼任东北人民革命军第三军一师二团政委
赵一曼,人物生平,1935年11月，在与日军作战中，赵一曼为掩护部队腿部负伤后在昏迷中被俘
赵一曼,丈夫,陈达邦
赵一曼,儿子,陈掖贤
杨靖宇,别名,马尚德，张贯一
杨靖宇,性别,男
杨靖宇,出生日期,1905年2月13日
杨靖宇,死亡日期,1940年2月23日
杨靖宇,政党,中国共产党
杨靖宇,主要成就,2009年，杨靖宇被评为“100位为新中国成立作出突出贡献的英雄模范人物”之一。
董存瑞,乳名,四虎子
董存瑞,性别,男
董存瑞,籍贯,河北省怀来
董存瑞,出生日期,1929年10月15日
董存瑞,死亡日期,1948年5月25日
董存瑞,主要成就,中国人民解放军战士
董存瑞,出生地址,新中国英雄模范人物
董存瑞,出生地址,河北省张家口市怀来县南山堡
董存瑞,生前职务,班长
董存瑞,陵墓地址,河北省隆化县董存瑞烈士陵园
董存瑞,人物生平,1945年春，董存瑞参加了当地抗日自卫队
董存瑞,人物生平,1947年3月，在平北整训期间，董存瑞加入中国共产党。
钱学森,科研成就,工程控制理论研究工作的先驱者
钱学森,出生日期,1911年12月11日
钱学森,出生地,上海
钱学森,经历,1934年就读于国立交通大学机械工程系
钱学森,经历,1939年获得美国加州理工学院航空和数学博士学位
钱学森,经历,1956年任中国科学院力学研究所所长
钱学森,经历,1965年任中华人民共和国第七机械工业部副部长
钱学森,经历,1970年任中国人民解放军国防科学技术委员会副主任
钱学森,经历,1991年10月钱学森被国务院、中央军委授予“国家杰出贡献科学家”荣誉称号
邱少云,出生日期,1926年7月12日
邱少云,民族,汉族
邱少云,出生地,四川省铜梁县
邱少云,入伍时间,1949年入伍
邱少云,所属队伍,生前系中国人民志愿军第15军87团9连战士
邱少云,身世,幼年失去双亲，孤苦无依
邱少云,父母情况,9岁丧父、11岁丧母
邱少云,加入解放军时间,1948年，作为解放兵毅然参加了中国人民解放军
邱少云,作战经历,1950年秋，随连队参加四川内江地区剿匪
邱少云,作战经历,1951年3月25日，邱少云作为中国人民志愿军的一员。
邱少云,作战经历,1951年3月，赴朝作战
邱少云,牺牲时间,1952年10月，光荣牺牲
邱少云,所获荣誉,1952年11月6日，中国人民志愿军领导机关给他追记特等功。
